id,first_name,second_name,web_name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,GW
45,Jürgen,Locadia,Locadia,0,28,0,0,0,1,1,0,21,19.3,2,0,45,0,0,2,0,0,0,4.6,5,1,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,90,0,1,5,0,0,0,0,7,0,1,0,380719,10,0,1,0,2,22,2,0,0,0,65,TRUE,0,0,1
46,Florin,Andone,Andone,0,0,0,0,0,3,0,0,0,0,0,0,46,0,0,2,0,0,0,0,0,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,1,0,0,5,0,0,0,0,0,0,1,0,42370,0,0,0,0,2,0,1,0,0,0,60,TRUE,0,0,1
47,Mathew,Ryan,Ryan,0,32,0,0,0,15,0,0,14,0,0,0,47,0,0,9,0,2,0,2.3,22.8,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,90,0,0,18,0,0,0,0,10,0,1,3,257273,0,0,0,0,2,0,2,0,0,0,45,FALSE,0,0,1
48,David,Button,Button,0,45,0,0,0,14,0,7,35,0.3,0,0,48,0,0,9,1,2,0,1.5,15,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,90,0,0,18,0,0,0,0,8,0,1,0,152747,0,1,0,0,2,0,1,0,0,0,45,FALSE,0,0,1
49,Pascal,Groß,Groß,0,39,0,0,0,16,0,10,30,0,0,0,49,0,0,9,2,2,0,2.7,27,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,90,0,0,18,0,0,0,0,4,0,1,0,153522,0,2,0,0,2,0,1,0,0,0,45,FALSE,0,0,1
50,Alireza,Jahanbakhsh,Jahanbakhsh,0,11,0,0,0,6,0,2,11,14.6,0,0,50,0,0,9,0,0,0,2.1,6.4,1,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,25,0,1,18,0,0,0,0,1,0,1,0,14542,0,0,0,0,2,0,1,0,0,0,45,FALSE,0,0,1
51,José Heriberto,Izquierdo Mena,Izquierdo,0,25,0,0,0,10,0,1,21,0.6,0,0,51,0,0,9,0,2,0,0.7,6.2,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,64,0,0,18,0,0,0,0,8,0,1,0,8038,0,1,0,0,2,0,1,0,0,0,45,FALSE,0,0,1
52,Anthony,Knockaert,Knockaert,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,9,0,0,0,0,0,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,0,0,0,18,0,0,0,0,0,0,1,0,413157,0,0,0,0,2,0,0,0,0,0,40,FALSE,0,0,1
53,Yves,Bissouma,Bissouma,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,9,0,0,0,0,0,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,0,0,0,18,0,0,0,0,0,0,1,0,118425,0,0,0,0,2,0,0,0,0,0,40,FALSE,0,0,1
54,Davy,Pröpper,Pröpper,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,9,0,0,0,0,0,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,0,0,0,18,0,0,0,0,0,0,1,0,7897,0,0,0,0,2,0,0,0,0,0,45,FALSE,0,0,1
55,Solomon,March,March,0,33,0,0,0,4,0,1,21,4.4,2,0,55,0,0,9,1,2,0,3.6,9.4,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,90,0,0,18,0,0,0,0,5,0,1,0,23952,4,0,0,0,2,22,2,0,0,0,55,FALSE,0,0,1
56,Beram,Kayal,Kayal,0,51,0,0,0,14,0,6,44,11.8,1,0,56,0,0,9,2,2,0,3.8,21.8,1,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,90,0,0,18,0,0,0,0,11,0,1,0,549320,2,2,1,0,2,4,1,0,0,0,45,FALSE,0,1,1
57,Dale,Stephens,Stephens,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,9,0,0,0,0,0,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,0,0,0,18,0,0,0,0,0,0,1,0,5338,0,0,0,0,2,0,0,0,0,0,45,FALSE,0,0,1
421,Leandro,Trossard,Trossard,0,0,0,0,0,0,0,0,0,0,0,0,421,0,0,10,0,0,0,0,0,0,2018-08-11T16:30:00Z,11 Aug 17:30,0,0,0,0,0,8,0,0,0,0,0,0,1,0,24845,0,0,0,2,2,0,0,0,0,0,45,TRUE,0,0,1
83,Ben,Mee,Mee,0,22,0,1,0,6,1,1,17,12.3,0,0,83,0,0,8,1,0,0,3.9,10,0,2018-08-12T12:30:00Z,12 Aug 13:30,0,0,90,0,1,16,0,0,0,0,2,0,1,0,15138,1,2,0,0,0,17,3,0,0,0,50,FALSE,0,0,1
84,James,Tarkowski,Tarkowski,0,8,0,0,0,2,0,0,1,0,0,0,84,0,0,8,0,0,0,0.2,0,0,2018-08-12T12:30:00Z,12 Aug 13:30,0,0,17,0,0,16,0,0,0,0,0,0,1,0,53452,0,0,1,0,0,4,1,0,0,0,55,FALSE,0,0,1
85,Matthew,Lowton,Lowton,0,2,0,0,0,4,0,0,2,10.3,0,0,85,0,0,8,0,0,0,2.3,5.2,1,2018-08-12T12:30:00Z,12 Aug 13:30,0,0,14,0,0,16,0,0,0,0,0,0,1,0,48750,0,0,0,0,0,7,1,0,0,0,60,FALSE,0,0,1
86,Phil,Bardsley,Bardsley,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,8,0,0,0,0,0,0,2018-08-12T12:30:00Z,12 Aug 13:30,0,0,0,0,0,16,0,0,0,0,0,0,1,0,101406,0,0,0,0,0,0,0,0,0,0,45,FALSE,0,0,1
