"","chance_of_playing_next_round","chance_of_playing_this_round","code","cost_change_event","cost_change_event_fall","cost_change_start","cost_change_start_fall","dreamteam_count","element_type","ep_next","ep_this","event_points","first_name","form","id","in_dreamteam","news","news_added","now_cost","photo","points_per_game","second_name","selected_by_percent","special","squad_number","status","team","team_code","total_points","transfers_in","transfers_in_event","transfers_out","transfers_out_event","value_form","value_season","web_name","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","influence_rank","influence_rank_type","creativity_rank","creativity_rank_type","threat_rank","threat_rank_type","ict_index_rank","ict_index_rank_type","plural_name","plural_name_short","singular_name","singular_name_short","squad_select","squad_min_play","squad_max_play","ui_shirt_specific","element_count","draw","loss","name","played","points","position","short_name","strength","team_division","unavailable","win","strength_overall_home","strength_overall_away","strength_attack_home","strength_attack_away","strength_defence_home","strength_defence_away","pulse_id","vapm","games"
"31",NA,NA,40564,0,0,0,0,0,3,"0.0",NA,0,"Henri","0.0",30,FALSE,"",NA,45,"40564.jpg",1.2,"Lansbury","0.2",FALSE,NA,"a",2,7,12,0,0,0,0,"0.0","2.7","Lansbury",190,0,0,0,6,0,0,0,0,0,0,0,37,"13.4","27.2","13.0","5.5",360,151,310,149,315,148,351,150,"Midfielders","MID","Midfielder","MID",5,2,5,FALSE,200,0,0,"Aston Villa",0,0,0,"AVL",2,NA,FALSE,0,1050,1080,1010,1080,1000,1110,2,0,10
"32",NA,NA,47390,0,0,0,0,0,2,"0.0",NA,0,"Neil","0.0",31,FALSE,"",NA,45,"47390.jpg",1.6,"Taylor","0.7",FALSE,NA,"a",2,7,22,0,0,0,0,"0.0","4.9","Taylor",1088,0,0,2,25,0,0,0,2,0,0,0,163,"157.6","79.7","29.0","26.7",283,107,243,77,296,107,299,105,"Defenders","DEF","Defender","DEF",5,3,5,FALSE,173,0,0,"Aston Villa",0,0,0,"AVL",2,NA,FALSE,0,1050,1080,1010,1080,1000,1110,2,0,14
"33",NA,NA,79852,0,0,0,0,0,1,"0.0",NA,0,"Jed","0.0",32,FALSE,"",NA,40,"79852.jpg",1,"Steer","4.2",FALSE,NA,"a",2,7,1,0,0,0,0,"0.0","0.2","Steer",7,0,0,0,0,0,0,0,0,0,0,0,3,"0.0","0.0","0.0","0.0",381,33,361,14,340,7,381,33,"Goalkeepers","GKP","Goalkeeper","GKP",2,1,1,TRUE,49,0,0,"Aston Villa",0,0,0,"AVL",2,NA,FALSE,0,1050,1080,1010,1080,1000,1110,2,0,1
"34",NA,NA,85242,0,0,0,0,0,3,"0.0",NA,0,"Conor","0.0",33,FALSE,"",NA,60,"85242.jpg",3.1,"Hourihane","0.1",FALSE,NA,"a",2,7,83,0,0,0,0,"0.0","13.8","Hourihane",1526,3,5,6,29,0,0,0,4,0,0,9,328,"384.8","551.8","317.0","125.3",167,69,39,32,111,61,91,54,"Midfielders","MID","Midfielder","MID",5,2,5,FALSE,200,0,0,"Aston Villa",0,0,0,"AVL",2,NA,FALSE,0,1050,1080,1010,1080,1000,1110,2,0.0183333333333333,27
"35",NA,NA,89274,0,0,0,0,0,3,"0.0",NA,0,"José Ignacio","0.0",34,FALSE,"",NA,60,"89274.jpg",1.7,"Peleteiro Romallo","0.1",FALSE,NA,"a",2,7,17,0,0,0,0,"0.0","2.8","Jota",329,0,1,2,5,0,0,0,0,0,0,0,48,"47.0","56.9","73.0","17.3",338,142,274,139,264,130,322,139,"Midfielders","MID","Midfielder","MID",5,2,5,FALSE,200,0,0,"Aston Villa",0,0,0,"AVL",2,NA,FALSE,0,1050,1080,1010,1080,1000,1110,2,0,10
"36",NA,NA,98770,0,0,0,0,0,1,"0.0",NA,0,"Ørjan","0.0",35,FALSE,"",NA,40,"98770.jpg",2.1,"Nyland","17.9",FALSE,NA,"a",2,7,15,0,0,0,0,"0.0","3.8","Nyland",537,0,0,1,12,0,0,0,0,0,15,0,90,"101.2","0.0","0.0","10.2",312,26,363,15,342,8,339,26,"Goalkeepers","GKP","Goalkeeper","GKP",2,1,1,TRUE,49,0,0,"Aston Villa",0,0,0,"AVL",2,NA,FALSE,0,1050,1080,1010,1080,1000,1110,2,0.0025,7
"37",NA,NA,108156,0,0,0,0,0,2,"0.0",NA,0,"Bjorn","0.0",36,FALSE,"",NA,45,"108156.jpg",2.5,"Engels","0.4",FALSE,NA,"a",2,7,42,0,0,0,0,"0.0","9.3","Engels",1446,1,0,3,32,0,0,0,1,0,0,4,252,"329.6","31.9","81.0","44.5",192,74,298,107,252,81,267,90,"Defenders","DEF","Defender","DEF",5,3,5,FALSE,173,0,0,"Aston Villa",0,0,0,"AVL",2,NA,FALSE,0,1050,1080,1010,1080,1000,1110,2,0.0111111111111111,17
"38",NA,NA,114283,0,0,0,0,0,3,"0.0",NA,0,"Jack","0.0",37,FALSE,"",NA,70,"114283.jpg",4.1,"Grealish","11.4",FALSE,NA,"a",2,7,149,0,0,0,0,"0.0","21.3","Grealish",3233,8,7,7,63,0,0,1,8,0,0,19,601,"826.6","1209.2","837.0","287.0",26,9,4,3,33,16,10,6,"Midfielders","MID","Midfielder","MID",5,2,5,FALSE,200,0,0,"Aston Villa",0,0,0,"AVL",2,NA,FALSE,0,1050,1080,1010,1080,1000,1110,2,0.03,36
"39",NA,NA,122806,0,0,0,0,0,3,"0.0",NA,0,"John","0.0",38,FALSE,"",NA,55,"122806.jpg",3,"McGinn","0.8",FALSE,NA,"a",2,7,84,0,0,0,0,"0.0","15.3","McGinn",2312,3,3,6,41,0,0,0,3,0,0,4,321,"458.6","503.3","499.0","145.9",130,49,48,37,66,35,65,39,"Midfielders","MID","Midfielder","MID",5,2,5,FALSE,200,0,0,"Aston Villa",0,0,0,"AVL",2,NA,FALSE,0,1050,1080,1010,1080,1000,1110,2,0.0181818181818182,28
"40",NA,NA,123354,0,0,0,0,0,2,"0.0",NA,0,"Kortney","0.0",39,FALSE,"",NA,45,"123354.jpg",1.9,"Hause","0.1",FALSE,NA,"a",2,7,34,0,0,0,0,"0.0","7.6","Hause",1544,1,0,2,34,0,0,0,3,0,0,0,204,"352.8","33.0","248.0","63.4",179,66,297,106,139,23,217,68,"Defenders","DEF","Defender","DEF",5,3,5,FALSE,173,0,0,"Aston Villa",0,0,0,"AVL",2,NA,FALSE,0,1050,1080,1010,1080,1000,1110,2,0,18
"41",NA,NA,148508,0,0,0,0,0,3,"0.0",NA,0,"Mahmoud Ahmed","0.0",40,FALSE,"",NA,55,"148508.jpg",2.9,"Ibrahim Hassan","1.9",FALSE,NA,"a",2,7,98,0,0,0,0,"0.0","17.8","Trézéguet",1936,6,2,6,29,0,0,0,2,1,0,7,270,"422.4","303.7","741.0","145.7",153,60,115,75,40,21,66,40,"Midfielders","MID","Midfielder","MID",5,2,5,FALSE,200,0,0,"Aston Villa",0,0,0,"AVL",2,NA,FALSE,0,1050,1080,1010,1080,1000,1110,2,0.0163636363636364,34
"42",NA,NA,149484,0,0,0,0,0,2,"0.0",NA,0,"Tyrone","0.0",41,FALSE,"",NA,50,"149484.jpg",2.7,"Mings","1.5",FALSE,NA,"a",2,7,90,0,0,0,0,"0.0","18.0","Mings",2902,2,2,6,53,0,0,0,7,0,0,9,537,"758.0","87.3","119.0","96.6",33,9,235,71,219,61,142,37,"Defenders","DEF","Defender","DEF",5,3,5,FALSE,173,0,0,"Aston Villa",0,0,0,"AVL",2,NA,FALSE,0,1050,1080,1010,1080,1000,1110,2,0.014,33
