name,position,team,points,price
McDonald,MID,Fulham,0,5
Johansen,MID,Fulham,0,5
Kebano,MID,Fulham,0,5
Onomah,MID,Fulham,0,5
Seri,MID,Fulham,0,5
Kamara,MID,Fulham,0,5
Anguissa,MID,Fulham,0,4.5
Mitrović,FWD,Fulham,0,6
Decordova-Reid,FWD,Fulham,0,5.5
Casilla,GKP,Leeds,0,4.5
Meslier,GKP,Leeds,0,4.5
Miazek,GKP,Leeds,0,4
Cooper,DEF,Leeds,0,4.5
Ayling,DEF,Leeds,0,4.5
Dallas,DEF,Leeds,0,4.5
Alioski,DEF,Leeds,0,4.5
Douglas,DEF,Leeds,0,4
Struijk,DEF,Leeds,0,4
Davis,DEF,Leeds,0,4
Casey,DEF,Leeds,0,4
Hernández,MID,Leeds,0,6
Klich,MID,Leeds,0,5.5
Harrison,MID,Leeds,0,5.5
Costa,MID,Leeds,0,5.5
Forshaw,MID,Leeds,0,5
Phillips,MID,Leeds,0,5
Roberts,MID,Leeds,0,5
Grot,MID,Leeds,0,5
Shackleton,MID,Leeds,0,5
Poveda-Ocampo,MID,Leeds,0,4.5
Stevens,MID,Leeds,0,4.5
Bamford,FWD,Leeds,0,5.5
Schmeichel,GKP,Leicester,156,5.5
Ward,GKP,Leicester,0,4.5
Pereira,DEF,Leicester,123,6
Evans,DEF,Leicester,128,5.5
Chilwell,DEF,Leicester,114,5.5
Söyüncü,DEF,Leicester,120,5.5
Morgan,DEF,Leicester,19,4.5
Fuchs,DEF,Leicester,26,4.5
Benkovic,DEF,Leicester,0,4.5
Justin,DEF,Leicester,35,4.5
Thomas,DEF,Leicester,15,4.5
Amartey,DEF,Leicester,0,4
Maddison,MID,Leicester,125,7
Barnes,MID,Leicester,133,7
Tielemans,MID,Leicester,117,6.5
Pérez,MID,Leicester,129,6.5
Albrighton,MID,Leicester,38,5.5
Praet,MID,Leicester,54,5.5
Gray,MID,Leicester,44,5.5
Choudhury,MID,Leicester,35,5
Ndidi,MID,Leicester,85,5
Silva,MID,Leicester,0,4.5
James,MID,Leicester,1,4.5
Vardy,FWD,Leicester,210,10
Iheanacho,FWD,Leicester,64,6
Alisson,GKP,Liverpool,122,6
Adrián,GKP,Liverpool,27,4.5
Alexander-Arnold,DEF,Liverpool,210,7.5
Robertson,DEF,Liverpool,181,7
van Dijk,DEF,Liverpool,178,6.5
Matip,DEF,Liverpool,39,5.5
Gomez,DEF,Liverpool,93,5.5
Tsimikas,DEF,Liverpool,0,5
Williams,DEF,Liverpool,14,4
Mané,MID,Liverpool,221,12
Salah,MID,Liverpool,233,12
Shaqiri,MID,Liverpool,15,6.5
Chamberlain,MID,Liverpool,76,6.5
Minamino,MID,Liverpool,11,6.5
Milner,MID,Liverpool,49,5.5
Wijnaldum,MID,Liverpool,107,5.5
Henderson,MID,Liverpool,116,5.5
Fabinho,MID,Liverpool,77,5.5
Harry Wilson,MID,Liverpool,91,5.5
Keita,MID,Liverpool,52,5.5
Jones,MID,Liverpool,13,4.5
Elliott,MID,Liverpool,2,4.5
Firmino,FWD,Liverpool,155,9.5
Origi,FWD,Liverpool,65,5.5
Brewster,FWD,Liverpool,0,4.5
Ederson,GKP,Man City,133,6
Bravo,GKP,Man City,11,4.5
Walker,DEF,Man City,114,6
Mendy,DEF,Man City,74,6
Laporte,DEF,Man City,63,6
Fernandinho,DEF,Man City,55,5.5
Cancelo,DEF,Man City,45,5.5
Aké,DEF,Man City,79,5.5
Zinchenko,DEF,Man City,49,5.5
Otamendi,DEF,Man City,82,5
Stones,DEF,Man City,34,5
Garcia,DEF,Man City,38,5
De Bruyne,MID,Man City,251,11.5
Sterling,MID,Man City,204,11.5
Mahrez,MID,Man City,175,8.5
Bernardo Silva,MID,Man City,116,7.5
Torres,MID,Man City,0,7
Foden,MID,Man City,69,6.5
